id.videoId,title,description,weight,unit,reps,special,reviewed
ldGMzsdVTes,DEADLIFT PR | 190 KG x 3 | #deadlift #hookgrip #pr,deadlift #hookgrip #conventional #reps #raw #pr #triple.,190,kg,3,,TRUE
lCxVkkNpmoU,522.5 lb x 3 deadlift (PR),Have done 527.5 lb x 3 before but last rep of that set wasn't clean. This set all reps would pass in a Powerlifting meet.,522.5,lb,3,,TRUE
tlE1NCT_dvY,Deadlift PR update on my channel! #shortsviral #viral #gymmotivation #pr #deadlift #gym #betterself,,NA,NA,NA,,TRUE
WN5TeBMYfAA,235kg/520lb Deadlift PR!!!!!,,235,kg,1,,TRUE
J9SqaseO8e4,397kg/875lbs Raw Deadlift (5-30-15),Just practicing some heavy singles and working on my grip. Everything felt great for this training session. Strength wise I think I ...,397,kg,1,,TRUE
Nsk9xITqYTw,Deadlift PR After Back Pain,They call him PR Patty for a reason. Pat's still making huge progress after overcoming back pain and making 425 look like light ...,425,NA,NA,,TRUE
VSJ2wt7D6-g,255KG deadlift PR.,old video of a deadlift PR in 2016.,255,kg,1,,TRUE
iAoq09vjquI,190kg x3 Deadlift PR!!,This was my PR in January so big improvements! Like And Subscribe for more videos!! :),190,kg,3,,TRUE
PI14MsjMy50,Maybe next time 🤷‍♂️ #motivation #gymmotivation #backday #deadlifts #deadlift #pr,,NA,NA,NA,,TRUE
F5khMFsxRMw,Bubba - 565 lb. Deadlift PR,,565,lb,1,,TRUE
qMN-2iRlWSQ,Trent Mann (Fittest Teen of Indiana) 350lb X 5 Deadlift PR,The first one was a little sticky but the rest was really easy!,350,lb,5,,TRUE
cW5Zc2sE-IQ,Drop your PR💪🏻 #deadlift #pr #weightlifting,,NA,NA,NA,,TRUE
8wzc9w5vS6E,380lb deadlift,,380,lb,1,,TRUE
MGjtPzXqtiw,WHAT SUPPLEMENTS DO I TAKE?! // Squat &amp; Deadlift PR!!,"In today's video I breakdown each and every supplement that I take! I feel that this is a super common question, so I go over all the ...",NA,NA,NA,,TRUE
MQW64JRNDG0,Isınma alanında 200 kg kemersiz deadlift pr,,200,kg,1,,TRUE
S6ezApX4kMk,385 Deadlift Pr last day at gym,,385,NA,1,,TRUE
sX5JYXHBBRc,Evan Kardon 809 Deadlift,809 Deadlift PR done at 215 body weight.,809,NA,1,,TRUE
VyXRa86xMR8,Deadlift PR 325lbs,Enjoy this Deadlift PR of 325lbs at around 163 lbs body weight. ------------------------------------------------------------------- ➢ Stalk My ...,325,lb,1,,TRUE
pn6HVeIgGLE,788 Lb (357.5 Kg) Deadlift PR,,788,lb,1,,TRUE
JIGgFAEjhgE,All time deadlift PR!,Pulling 455 in my basement for an all time PR! Excited to be making progress at home ...,455,NA,1,,TRUE
0FKHG_W486A,500 lbs Deadlift PR,"Feel free to critic, dislike, or tell me ""good job"". Felt easy but was shaky at the top. 600 coming soon!",500,lb,1,,TRUE
IS1T98YrSuU,240kg Pause Deadlift PR @83kg,"240kg ish Pause Deadlift PR @83kg with @savagegears stiff bar Pound plates , lazy count... Back to my roots #convyboiz ...",240,kg,1,,TRUE
U1Gzex4967s,225kgs/496lbs Deadlift(Failed).I will pull 250kgs under 74. #shorts #powerlifting #deadlift #PR,,225,kg,1,,TRUE
dc10hb9HApE,Equaling My Deadlift PR (Better),"I started using a belt again while deadlifting, because I'm preparing to pull 180kg in couple of weeks.",180,kg,1,,TRUE
wHLzZSSWTuI,375 trap bar deadlift pr,,375,NA,1,trap,TRUE
AKeMqG-l6wo,200KG Deadlift PR from June 😄💪🏻,My first time hiring 200kg on deadlift.,200,kg,1,,TRUE
u6R4VArfpFU,New DEADLIFT PR!!! | 430lbs/195kg @ 152lbs/69kg bodyweight,For Online Coaching: please send email to: romoxrjsteven08@gmail.com -subject ''PSS ONLINE COACHING'' XSTHETICS ...,430,lb,1,,TRUE
xB6_oyFo4tQ,405 Deadlift PR,"Here's a video of my new deadlift PR of 405lb! Took me a little bit to get it locked out, but once I did- it was probably the best ...",405,lb,1,,TRUE
t1v11h5SXL0,Doctor I will take a break after this last set😜. #gymhumor #humor,FOLLOW ME ON: • INSTAGRAM : https://www.instagram.com/lordevaris_ • FACEBOOK: https://www.facebook.com/lordevaris1 ...,NA,NA,NA,,TRUE
MbkdxJVz23Y,DEADLIFT PR/PB at 290lb/132kg! Bodyweight 120lb 🔥,,290,lb,1,,TRUE
Tmyc9GnpDOE,Deadlift PR✅ #deadlift #170kg #gymshorts,,170,kg,1,,TRUE
McDke6ghYqw,525x1 deadlift PR,,525,NA,1,,TRUE
PYx5qv2Bo5A,455lb deadlift PR..Stan The Wrecking Ball,Stan hitting a 20+lb deadlift PR...on a Tuesday.,455,lb,1,,TRUE
gWY-DS1yrpw,200kg Deadlift pr,easy work #gym.,200,kg,1,,TRUE
7rZsaSeoWFc,265lb Deadlift PR,,265,lb,1,,TRUE
MoYhFoRGLV8,190kg*5 conventional deadlift pr. #youtubeshorts #gymmotivation #shorts,relatable #deadlift #lifequotes #ytshorts.,190,kg,5,,TRUE
6QxogZWZX0k,18 year old Deadlift Pr 450lbs at 168lbs,My 1 rep max deadlift on the way to 500lbs by Christmas.,450,lb,1,,TRUE
ByVhZSn3p-c,305lb Deadlift PR @140lb BW,,305,lb,1,,TRUE
nsWfSrUQ-2E,450 Deadlift PR,Call me 21 cause I had to use the straps.,450,NA,1,,TRUE
aS37tu9D_DQ,PR | 175 kg ✅ #sauray #deadlift #shorts,,175,kg,1,,TRUE
dMUQaEUwSLs,#motivation #lifter #fitnessmotivation #lifting #deadlift #pr #weights,,NA,NA,NA,,TRUE
5JAGYvDvNuI,Deadlift PR | 300kg | +20kg  #deadlift #motivation #powerlifting,deadlift #strongman #weightlifting #powerlifting #gymlife #strengthtraining #fitnessgoals #liftheavy #workoutmotivation ...,300,kg,1,,TRUE
RRe2-Pbde6M,HEAVY AS FC*K DEADLIFT PR #Shorts #Fitness #Strength,heavy deadlift pr of 425. #Shorts.,425,NA,1,,TRUE
KaAtZKYjWhc,410lbs deadlift PR!,7 weeks out from deadlift competition! 410lbs at 152lbs bodyweight.,410,lb,1,,TRUE
ICN_0Q2mqDg,190 lb Deadlift PR,Dec 2014.,190,lb,1,,TRUE
FdSlVTKwZjM,🥵❌Sumo vs Conventional Deadlift (WHICH IS BETTER) ? #sumo #deadlift,,NA,NA,NA,,TRUE
5v56D4OPHv4,150KG DEADLIFT 1 REP MAX (330lb) #shorts,shorts #gym #deadlift #pr.,150,kg,1,,TRUE
4j1JTdGyDF0,Huge DEADLIFT PR! REPS w/ OVER 3x Bodyweight 550x2 While Fairly Shredded @180s | Tearing Callouses,Earlier today I Tried to upload this version of my last deadlift PR but it was the wrong file and the same as the last raw video I ...,550,NA,2,,TRUE
u9kS3mYDb-k,Deadlift pr from a while ago #gym #workout #deadlift,,NA,NA,NA,,TRUE
4mUeY5S22sg,DEADLIFT PR- 460 lbs!,"Something funny going on with the video here. Anyway, got 460 today. Not my best form. Some rounding for sure. My plan is now ...",460,lb,1,,TRUE
K4gTF10thr4,Jordan 585# deadlift pr,,585,NA,1,,TRUE
EVtKpPeo77Y,Comment 💀 your Deadlift PR 💪#shorts #ytshorts #bodybuilding #deadlift,Comment your Deadlift PR #shorts #ytshorts #bodybuilding #deadlift.,NA,NA,NA,,TRUE
pQzVJMx80_Q,Zercher PR in front of ​⁠@LarryWheels #strength #deadlift #pr #motivate #goals #inspire,,NA,NA,1,,TRUE
U5-EF67kkpA,Deadlift PR @ 295 lbs,Previous PR @ 285 lbs.,295,lb,1,,TRUE
Flkii96kYnc,DEADLIFT PR 182.5kg!!,Broke my PR 182.5kg!! Increased 2.5kg! Slowly but surely. I am still on the way. #deadlift #fitness #workout #weighttraining.,182.5,kg,1,,TRUE
ukXJDlRgO6A,New deadlift PR - 135 + 20 = 155KG 🔥💪🏻 (April 2024) #gym #deadlift #powerlifting #workout #trending,,155,kg,1,,TRUE
bdqJan9v9R8,Chris C 305 Deadlift PR 1/7/19,,305,NA,1,,TRUE
LycrHd0zidY,DEADLIFT PR 545lb x 2!!!,My Shirt: http://barbellbrigade.com/en/tanks/29-bulletproof-tank-black.html Barbell Brigade: http://barbellbrigade.com/ Barbell ...,545,lb,2,,TRUE
7XGOnfzyiVc,Accidental deadlift PR #deadlift #gym #gymmotivation #fyp #fypシ゚viral,,NA,NA,NA,,TRUE
IJKqiodUGiI,Chance Deadlift PR Feb 2015,Chance hitting a nice PR of 425#,425,NA,1,,TRUE
XYCKOCJIeas,🚨Deadlift PR 560lbs/255kg 195 BW🚨 #fitnessmotivation #fitnessworkouts #workouts #deadlift #love,IG - @compton.lifts hopefully will be able to upload on youtube now and not just shorts :),560,lb,1,,TRUE
1r5q15TW1SQ,515 deadlift. PR,,515,NA,1,,TRUE
Q6nrSliBQpY,Epic Deadlift PR + Tire Flips at Strength Camp Kamloops,,NA,NA,NA,,TRUE
DRVql2MYSSs,NEW DEADLIFT PR - 220kg / 5 PLATE CLUB BRUH,,220,kg,1,,TRUE
WnPpkosChwc,605 Deadlift PR,,605,NA,1,,TRUE
nIEs_gE63fg,500lb Deadlift PR,A montage up to my first time getting 500lbs in the deadlift. Featuring @kohbebeef (on instagram) Instagram- @evolstrength Song: ...,500,lb,1,,TRUE
VJhl2C8twZM,375 POUND DEADLIFT PR!,,375,lb,1,,TRUE
axOyqKkc2vg,The BEST 3 TIPS to Get a STRONGER DEADLIFT,The deadlift can be a tricky exercise to correctly perform. That's why I wanted to give you guys the 3 tips that I use in order to ...,NA,NA,NA,,TRUE
NqoNOl1dfqI,PR Deadlift Session | 800lbs,800lbs deadlift PR and some behind the neck GHR sit ups. Subscribe for more powerlifting content Coaching inquiries: ...,800,lb,1,,TRUE
8L0POqShSNM,Sam Hutmacher 325# Deadlift PR,,325,NA,1,,TRUE
#NAME?,Deadlift PR 200kg 17/12/2019,,200,kg,1,,TRUE
Ojw72ZNVr7M,430lb Deadlift PR! | 20241130                  Back from 1week break again 🤪#deadlift,,430,lb,1,,TRUE
